"crim","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat"
26.157783095728,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,396.9,4.98
22.9612031415372,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
19.1692417548036,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
17.3551603063775,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
19.0635092642289,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
18.2852073944988,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
36.01649204823,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,395.6,12.43
39.5479852291117,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2,396.9,19.15
51.0344427570126,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2,386.63,29.93
39.0436259070649,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2,386.71,17.1
41.1858944049589,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,392.52,20.45
35.1626167007448,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27
42.0308744428271,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,390.5,15.71
31.446247168667,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,396.9,8.26
31.1022382846823,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,380.02,10.26
32.3046069443765,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,395.62,8.47
33.1138808446208,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,386.85,6.58
36.061149489729,0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21,386.75,14.67
37.1616804067035,0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21,288.99,11.69
33.5010174740085,0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21,390.95,11.28
41.5769823722378,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,376.57,21.02
34.3704980011847,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,392.53,13.83
38.6684021153637,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,396.9,18.72
39.2250651994206,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,394.54,19.88
36.7011123683498,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,394.33,16.3
37.8619322026743,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,303.42,16.51
35.4982960960591,0,8.14,0,0.538,5.813,90.3,4.682,4,307,21,376.88,14.81
37.7659523481633,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,306.38,17.28
32.5804624722444,0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21,387.94,12.8
